chim	Chimborazo
tena	Tena
inkw	Inkawasi
caja	Cajamarca
coro	Corongo
cara	Caraz
chav	Chavín
huyo	Huancayo
huca	Huancavelica
cuzc	Cuzco
puno	Puno
taqu	Taquile
apol	Apolobamba
coch	Cochabamba
sucr	Sucre
kawk	Kawki
jaqa	Jaqaru
huan	Huancané
tiwa	Tiwanaku
orur	Oruro
A001p	Midsland (Fr)
A001q	Lies (Fr)
A001z	Formerum (Fr)
A002p	West-Terschelling (Fr)
A007p	Den Hoorn (NH)
B001a	Hollum (Fr)
B003p	Buren (Fr)
B004p	Schiermonnikoog (Fr)
B006p	Oosterend (Fr)
B009p	Holwerd (Fr)
B013b	Anjum (Fr)
B014a	Wierum (Fr)
B017p	Zoutkamp (Gn)
B019p	Sint (Annaparochie Fr)
B022a	Marrum (Fr)
B023p	Hallum (Fr)
B029p	Rinsumageest (Fr)
B030p	Dokkum (Fr)
B034b	Westergeest (Fr)
B037p	Burum (Fr)
B042p	Grijpskerk (Gn)
B043p	Sexbierum (Fr)
B045p	Harlingen (Fr)
B048p	Franeker (Fr)
B052b	Beetgumermolen (Fr)
B056p	Leeuwarden (Fr)
B058p	Tietjerk (Fr)
B060p	Veenwouden (Fr)
B067a	Harkema (Opeinde Fr)
B077p	Arum (Fr)
B082p	Spannum (Fr)
B085p	Weidum (Fr)
B094p	Grouw (Fr)
B096p	Oudega (Fr)
B098p	Rottevalle (Fr)
B101p	Marum (Gn)
B106p	Makkum (Fr)
B110p	Bolsward (Fr)
B112p	Sneek (Fr)
B114p	IJlst (Fr)
B120p	Akkrum (Fr)
B121j	Nij Beets (Fr)
B125p	Wijnjeterp (Fr)
B127p	Bakkeveen (Fr)
C001a	Roodeschool (Gn)
C026p	Eenrum (Gn)
C033p	Kantens (Gn)
C041a	Leermens (Gn)
C068p	Aduard (Gn)
C070a	Sint-Annen (Gn)
C079p	Appingedam (Gn)
C085p	Wagenborgen (Gn)
C103a	Roderwolde (Dr)
